text,category,amount
Ola Rs. 24810,Transport,24810.0
airtel payment inr26935,Utilities,26935.0
snack payment of 2700.00,Food,2700.0
coffee cost INR 35102 on 12/05,Food,35102.0
Dominos payment 11707 rs,Food,11707.0
Spent 6314.00 On Toll,Transport,6314.0
bought vegetables from local shop 28706 rs last night,Food,28706.0
47378 for gift,Shopping,47378.0
Monthly cafe ₹6376,Food,6376.0
"Tata Sky INR32322 is the amount, not 49252 yesterday",Utilities,32322.0
Late Night Craving Order Inr19337 on 12/05,Food,19337.0
Indigo Transfer 46786 actually ₹41493 cred,Transport,41493.0
Decathlon payment INR 8038 txn id 857764,Shopping,8038.0
doctor not 38600 but 18699,Health,18699.0
gift for anniversary 334 rs,Shopping,334.0
wifi bill payment INR 21657,Utilities,21657.0
fitness center charges inr32812,Entertainment,32812.0
Spent INR18246 on prepaid,Utilities,18246.0
metro expense 164 successful,Transport,164.0
Upi Payment To Dominos 17506.00,Food,17506.0
paid for cafe ₹23046,Food,23046.0
gym cost INR35122,Entertainment,35122.0
Amazon 25010 No Make It 34471 Rs,Shopping,34471.0
Ordered From Uber Rs. 1455,Transport,1455.0
Paid 36573 rs at Adidas,Shopping,36573.0
Income From Freelance Work ₹42161,Income,42161.0
₹11543 paid to client,Income,11543.0
Ordered from IMAX 2815,Entertainment,2815.0
"Apple Store 16682.00 Is The Amount, Not 28495",Shopping,16682.0
h&m paid 21850 wait no 20450 rs cred last night,Shopping,20450.0
Paid 52 rs at Nike,Shopping,52.0
Paid ₹48573 at Urban Company,Housing,48573.0
gift payment of 23505.00,Shopping,23505.0
wifi bill payment 14266 rs,Utilities,14266.0
spent inr46862 on movie cred,Entertainment,46862.0
Transaction At H&M For Inr 49418,Shopping,49418.0
charity rs. 9294 on 12/05,Others,9294.0
monthly bus pass renewal 9619 rs successful,Transport,9619.0
ordered from urban company inr28791,Housing,28791.0
Bill from Burger King of Rs. 6932,Food,6932.0
Act Fibernet INR37585,Utilities,37585.0
Spent INR 9463 on HDFC,Income,9463.0
INR 27706 paid to Zomato,Food,27706.0
gas cylinder booking ₹39815,Utilities,39815.0
auto rs. 39843 ... not 32123 via phonepe,Transport,39843.0
Spent ₹12355 on Ola,Transport,12355.0
Spent 27721.00 on Pizza Hut,Food,27721.0
starbucks payment 44794 on card,Food,44794.0
shopping Transfer 42919 actually 23441 debt,Shopping,23441.0
Dth Bill Is Inr 11945 Not 42749,Utilities,11945.0
rs. 17489 for hospital cred,Health,17489.0
bought new ps5 game,Entertainment,17439.0
16529.00 for flight,Transport,16529.0
Monthly cab INR 27013,Transport,27013.0
400 rs paid to swiggy,Food,400.0
diwali shopping for family ₹30372 cred,Shopping,30372.0
food spent 46863 oh wait it was 15090 rs upi ref 40827,Food,15090.0
Transaction At Ola For Inr 1773 yesterday,Transport,1773.0
Upi Payment To Medplus Inr17472,Health,17472.0
31854 rs paid to Myntra last night,Shopping,31854.0
PVR Transfer 20458 actually Rs. 4990,Entertainment,4990.0
UPI payment to Byju's INR 47620 via paytm,Education,47620.0
Asian Paints payment 6935 rs txn id 772068,Housing,6935.0
BigBasket INR21542 via paytm,Food,21542.0
₹22749 paid to Flipkart,Shopping,22749.0
Transaction at HP Petrol for 19744 txn id 477955,Transport,19744.0
Pizza Hut Inr42072,Food,42072.0
Air Asia Payment 32840 Rs,Transport,32840.0
Bill From Swiggy Of 6746 Rs,Food,6746.0
Vi 37650,Utilities,37650.0
debit swipe starbucks inr42048,Food,42048.0
fuel cost 16269 rs txn id 455589,Transport,16269.0
whitewashing labor cost 32096 rs,Housing,32096.0
Upi Payment To Zomato 40585,Food,40585.0
transaction at jio for inr 42615 on 12/05,Utilities,42615.0
Paid for apparel INR 45154 yesterday,Shopping,45154.0
Transaction at Amazon for 46161,Shopping,46161.0
Electrician Repair Work Rs. 49537,Housing,49537.0
Debit swipe Nike INR34984 yesterday,Shopping,34984.0
diwali shopping for family rs. 34767,Shopping,34767.0
cashback cost 9306 rs,Income,9306.0
Bill from Airtel of 36490,Utilities,36490.0
Charity 32930,Others,32930.0
"water bill 4784 is the amount, not 40033",Housing,4784.0
Paid ₹17682 At Nobroker last night,Housing,17682.0
winter wear purchase inr27202,Shopping,27202.0
spent rs. 43482 on ajio,Shopping,43482.0
Debit swipe Subway 2070,Food,2070.0
Paid ₹1303 at NoBroker,Housing,1303.0
Bescom Inr1827,Utilities,1827.0
Spent ₹23479 on restaurant txn id 791281,Food,23479.0
20261 rs for internet,Utilities,20261.0
spent 9991.00 on shell,Transport,9991.0
prepaid charges INR 29437,Utilities,29437.0
Starbucks payment 44281.00,Food,44281.0
bill from myntra of ₹5759,Shopping,5759.0
UPI payment to Vi INR47339 last night,Utilities,47339.0
Monthly Shopping 42637 Rs,Shopping,42637.0
Spent Rs. 28484 On Cure.Fit,Health,28484.0
Bill From Charity Of Inr 27215,Others,27215.0
Udemy Inr 43369 via phonepe,Education,43369.0
Paid ₹48138 at PVR,Entertainment,48138.0
30366 rs paid to Urban Company debt,Housing,30366.0
upi payment to dishtv 6442.00,Utilities,6442.0
subscription payment of Rs. 22310 via phonepe on 12/05,Entertainment,22310.0
ordered from nike rs. 46282,Shopping,46282.0
shopping Bill is 23818... sorry 4928,Shopping,4928.0
maid expense Rs. 23604,Housing,23604.0
Dominos 44177 rs,Food,44177.0
49119 for postpaid,Utilities,49119.0
purchase 21127 no make it INR 539 last night,Shopping,539.0
Bill from Tata Sky of 21373 rs,Utilities,21373.0
Uber Bill Is 31512 Rs Not 41277,Transport,31512.0
Spent Rs. 3900 on Burger King,Food,3900.0
Dominos payment 14471,Food,14471.0
Maid Cost ₹16983,Housing,16983.0
Debit Swipe Swiggy Inr 46863 upi ref 94603,Food,46863.0
Debit Swipe Udemy ₹25488,Education,25488.0
Spent Rs. 45912 on Amazon cred,Shopping,45912.0
clothes Transfer 6287 actually INR 39653,Shopping,39653.0
Ordered From Rapido 37664 Rs,Transport,37664.0
imax ₹19206 instead of 40531 yesterday,Entertainment,19206.0
UPI payment to H&M INR1055 upi ref 70164,Shopping,1055.0
auto expense INR16931 via phonepe,Transport,16931.0
transaction at coursera for rs. 3431,Education,3431.0
Just paid show bill ₹26911 via paytm,Entertainment,26911.0
Swiggy INR 14261,Food,14261.0
"grocery Calculated 8748 incorrectly, actual is INR16341",Food,16341.0
Bill from Steam of INR42731,Entertainment,42731.0
UPI payment to Google Pay INR37071,Income,37071.0
shopping charges rs. 36548 last night,Shopping,36548.0
postpaid spent 8249 oh wait it was 2419,Utilities,2419.0
IRCTC payment Rs. 8731,Transport,8731.0
Just paid prepaid bill 7276.00,Utilities,7276.0
Purchase Cost Rs. 10417,Shopping,10417.0
charity transfer 15019 actually rs. 31850,Others,31850.0
Practo payment 27602,Health,27602.0
coffee cost rs. 15091 cred last night,Food,15091.0
Cab 46218 Rs ... Not 47119 via phonepe,Transport,46218.0
Bill from BigBasket of INR28462,Food,28462.0
Debit swipe Charity INR35723 yesterday,Others,35723.0
Paid For Apparel 8851.00 on card,Shopping,8851.0
spent 24537 rs on metro,Transport,24537.0
Apple Store Transfer 21488 Actually 47011,Shopping,47011.0
Repairs Inr 31774 ... Not 32941,Housing,31774.0
Bill from Zomato of 24977,Food,24977.0
INR 35839 paid to Blinkit via gpay,Food,35839.0
debit swipe myntra rs. 37227,Shopping,37227.0
Spent 35863 rs on McDonalds,Food,35863.0
Myntra Payment 11883 Rs,Shopping,11883.0
Friend Bill Is 14479 Not 30530,Income,14479.0
Spent 36478 Rs On Concert,Entertainment,36478.0
sunday brunch bill inr 8976 via gpay,Food,8976.0
H&M 22801 no make it Rs. 42190,Shopping,42190.0
inr16100 paid to adidas,Shopping,16100.0
booked flight tickets for vacation INR1708 via paytm,Transport,1708.0
Debit swipe Indigo 37219 rs,Transport,37219.0
Debit swipe IRCTC ₹13167,Transport,13167.0
Paid INR 43795 at Zomato,Food,43795.0
45798 rs for dinner,Food,45798.0
Uber ₹9801 ... not 47563,Transport,9801.0
electrician Spent 4495 oh wait it was 35900 rs upi ref 99241,Housing,35900.0
kfc payment ₹10371 via phonepe today,Food,10371.0
doctor charges 37414,Health,37414.0
INR 21929 paid to PlayStation,Entertainment,21929.0
Rs. 17861 paid to Flipkart debt,Shopping,17861.0
monthly parking inr 25894 txn id 634596,Transport,25894.0
ordered from adidas ₹13705,Shopping,13705.0
bescom payment inr45987,Utilities,45987.0
winter wear purchase 43587,Shopping,43587.0
Just paid restaurant bill Rs. 43490,Food,43490.0
Hp Petrol 25905 Rs,Transport,25905.0
Spent Inr28006 On Gold'S Gym,Entertainment,28006.0
Spent 41656.00 On Apollo Pharmacy upi ref 76194,Health,41656.0
Monthly electronics INR21491 upi ref 66485,Shopping,21491.0
Spent 42748 on Apollo Pharmacy,Health,42748.0
Bill From Apple Store Of ₹18442,Shopping,18442.0
decathlon 5844 rs ... not 10388 successful,Shopping,5844.0
bus payment of rs. 19356 txn id 452366,Transport,19356.0
Monthly food ₹24957,Food,24957.0
Debit swipe Amazon ₹25574 cred,Shopping,25574.0
cafe payment of ₹25121,Food,25121.0
debit swipe bookmyshow 17047 rs,Entertainment,17047.0
Spent Rs. 49549 on Tata Sky upi ref 46712,Utilities,49549.0
cafe Bill is 35086... sorry INR 4615,Food,4615.0
shopping spent 9031 oh wait it was inr41376,Shopping,41376.0
UPI payment to H&M 27969 rs,Shopping,27969.0
gas cylinder booking INR46090,Utilities,46090.0
Spent 24160 rs on shoes,Shopping,24160.0
Monthly snack Rs. 41713,Food,41713.0
coffee payment of INR28015,Food,28015.0
society maintenance paid 32433.00,Housing,32433.0
Debit Swipe Instamart 41545.00,Food,41545.0
Clinic Cost 39703,Health,39703.0
INR38692 for carpenter,Housing,38692.0
Transaction At Myntra For 2458,Shopping,2458.0
Spent 38470.00 On Employer,Income,38470.0
Paid for atm ₹46503,Others,46503.0
Just paid gift bill Rs. 40100,Shopping,40100.0
event payment of ₹49169,Entertainment,49169.0
apparel Not 33823 but 28579,Shopping,28579.0
Electronics Store Bill 26065,Shopping,26065.0
vegetables ₹38891 ... not 46381,Food,38891.0
broadband cost INR 47638,Utilities,47638.0
payment received Bill is 42047... sorry ₹40193 upi ref 83812,Income,40193.0
Ordered from Starbucks 47805.00 txn id 511911,Food,47805.0
spent inr 32952 on yoga,Health,32952.0
Shoes Cost ₹28892 successful,Shopping,28892.0
Bill From Client Of Inr34332,Income,34332.0
spent 8069 rs on airtel,Utilities,8069.0
Restaurant Cost Rs. 24369 today,Food,24369.0
Just paid apparel bill INR23484,Shopping,23484.0
Clothes Payment Of 1382.00,Shopping,1382.0
Bank payment INR45205 debt,Income,45205.0
Blinkit Bill Is Inr 11845 Not 22925,Food,11845.0
ride Bill is INR3410 not 40431,Transport,3410.0
INR9080 paid to KFC via gpay,Food,9080.0
gym expense Rs. 40375,Health,40375.0
amazon prime paid 34364 wait no 43201.00,Entertainment,43201.0
Zomato Rs. 38185 instead of 8362,Food,38185.0
Spent Rs. 38177 on Air Asia,Transport,38177.0
INR23369 paid to Practo,Health,23369.0
ordered from urban company ₹2180,Housing,2180.0
Paid For Movie ₹9752,Entertainment,9752.0
₹38832 For Accessories,Shopping,38832.0
breakfast expense INR 32062,Food,32062.0
Shell 36991,Transport,36991.0
coffee charges 19954.00,Food,19954.0
electricity expense INR 49267,Housing,49267.0
Transaction at Act Fibernet for INR 31488 upi ref 91725 on 12/05,Utilities,31488.0
ordered from act fibernet 38590.00,Utilities,38590.0
Vi 27343 no make it INR12716,Utilities,12716.0
flipkart not 15304 but 35033 rs,Shopping,35033.0
indigo payment rs. 29947 last night,Transport,29947.0
Burger King 42007 rs,Food,42007.0
went out for dinner with friends INR10826 on 12/05,Food,10826.0
received 17516.00 ... not 36207 txn id 769527,Income,17516.0
debit swipe unknown inr34735,Others,34735.0
internet expense Rs. 47939 on 12/05,Utilities,47939.0
26171 rs for training,Education,26171.0
Debit Swipe Google Pay 140,Income,140.0
Bill from Zara of 2868,Shopping,2868.0
H&M Inr 5013 ... Not 31689 on 12/05,Shopping,5013.0
28876 paid to dominos,Food,28876.0
gift cost Rs. 25984,Shopping,25984.0
Ordered from 1mg INR 9423,Health,9423.0
Spent ₹9796 On Doctor successful,Health,9796.0
upi payment to swiggy 49852 txn id 620803,Food,49852.0
UPI payment to Nike INR35168,Shopping,35168.0
grocery 10169 was debited... correction ₹36351,Food,36351.0
6978 for snack,Food,6978.0
₹17281 paid to Rapido,Transport,17281.0
shopping spree at mall INR41402,Shopping,41402.0
recharge expense ₹14489,Utilities,14489.0
Transaction At Instamart For 6818,Food,6818.0
Coursera ₹40445,Education,40445.0
shopping payment of ₹14174,Shopping,14174.0
Just paid workshop bill INR30131,Education,30131.0
Zomato 26930 no make it ₹1526,Food,1526.0
paid inr42806 at bescom,Utilities,42806.0
Spent 11399.00 On Kfc on 12/05,Food,11399.0
Ajio INR 13326,Shopping,13326.0
Spotify payment Rs. 10536,Entertainment,10536.0
Monthly Apparel Inr 41023 yesterday,Shopping,41023.0
UPI payment to Google Pay ₹19879,Income,19879.0
Monthly test ₹13486,Health,13486.0
Unacademy payment 44944.00,Education,44944.0
Ordered From Subway ₹29997 cred,Food,29997.0
Spent ₹33408 On Bill today,Utilities,33408.0
Just paid show bill Rs. 38231,Entertainment,38231.0
Unknown ₹32735,Others,32735.0
just paid checkup bill rs. 41974,Health,41974.0
vegetables expense 33526,Food,33526.0
Transaction At Irctc For 11466 Rs,Transport,11466.0
paid inr 17102 at kfc via phonepe,Food,17102.0
Burger King Inr 25225 ... Not 37239,Food,25225.0
purchase charges INR15709,Shopping,15709.0
Debit swipe Adidas 6471.00,Shopping,6471.0
Swiggy INR23944,Food,23944.0
internet payment of 49160,Utilities,49160.0
DishTV INR 2955,Utilities,2955.0
Debit swipe IKEA 14716 rs,Housing,14716.0
₹10447 for lunch debt,Food,10447.0
show payment of 32916 via gpay,Entertainment,32916.0
ordered from burger king ₹44612,Food,44612.0
Ordered from Unacademy 7604,Education,7604.0
metro ride to work INR 22498,Transport,22498.0
Rs. 38560 for fruits,Food,38560.0
UPI payment to Amazon Prime INR5967,Entertainment,5967.0
Paid Rs. 8401 at Vi,Utilities,8401.0
Class Expense 46215.00,Education,46215.0
Spent INR29660 on Zomato,Food,29660.0
Decathlon 13788.00,Shopping,13788.0
lunch Transfer 41708 actually 37880 rs today,Food,37880.0
Debit swipe Asian Paints 26074 rs via phonepe,Housing,26074.0
spent 43920.00 on snack,Food,43920.0
dth spent 48702 oh wait it was rs. 16178,Utilities,16178.0
Bill From Kfc Of Rs. 5488,Food,5488.0
cab charges inr 652,Transport,652.0
Upi Payment To Friend 24259 Rs,Income,24259.0
Winter Wear Purchase Rs. 26547 debt,Shopping,26547.0
Byju's payment 27879,Education,27879.0
office canteen lunch INR5239,Food,5239.0
34139 Paid To Irctc upi ref 60075,Transport,34139.0
diwali shopping for family 11351.00 on 12/05,Shopping,11351.0
30769 for recharge,Utilities,30769.0
"parking ₹32872 is the amount, not 17409",Transport,32872.0
purchase charges ₹38361,Shopping,38361.0
Paid 26985 rs at Amazon,Shopping,26985.0
Instamart 23884.00,Food,23884.0
Upi Payment To Subway 44248 Rs,Food,44248.0
DishTV payment INR39199,Utilities,39199.0
shopping spree at mall 45438 rs via paytm,Shopping,45438.0
Instamart 19415 ... not 42214,Food,19415.0
internet expense 37708 rs,Utilities,37708.0
Flipkart Transfer 754 actually 43730.00,Shopping,43730.0
bill from ikea of 16181,Housing,16181.0
Ordered From Starbucks 48313,Food,48313.0
INR 38327 paid to Friend,Others,38327.0
"DishTV Calculated 3956 incorrectly, actual is Rs. 36955 on card",Utilities,36955.0
Paid ₹7305 at Flipkart,Shopping,7305.0
Just Paid Course Bill 11873 Rs txn id 855240,Education,11873.0
Spent Rs. 11632 on Unknown,Others,11632.0
Debit swipe Bescom 8226 rs,Utilities,8226.0
"Bus Calculated 40302 Incorrectly, Actual Is 3474 Rs on card today",Transport,3474.0
paid for atm 36288.00 on card,Others,36288.0
paid for electronics inr 2867 via gpay,Shopping,2867.0
Paid for apparel 37964.00 today,Shopping,37964.0
mobile recharge done 6405,Utilities,6405.0
just paid purchase bill 38786,Shopping,38786.0
Monthly gym INR42735,Health,42735.0
UPI payment to Airtel INR 117,Utilities,117.0
repairs expense 31023 rs,Housing,31023.0
Transaction at Charity for 14707 rs,Others,14707.0
21263.00 paid to apple store,Shopping,21263.0
5948 paid to dishtv,Utilities,5948.0
Ordered from Myntra INR2682 via phonepe,Shopping,2682.0
ordered clothes online Rs. 4821,Shopping,4821.0
Myntra Not 42471 but 45522 rs on 12/05,Shopping,45522.0
43155 paid to Asian Paints,Housing,43155.0
Decathlon payment ₹13190,Shopping,13190.0
Debit swipe IRCTC Rs. 37706,Transport,37706.0
Tata Sky INR24852,Utilities,24852.0
subscription payment of 24738 txn id 771541,Entertainment,24738.0
Purchase Bill Is Inr46829 Not 4330 today,Shopping,46829.0
Uber payment ₹37799,Transport,37799.0
Myntra payment Rs. 11907,Shopping,11907.0
furniture not 48007 but 38824.00,Housing,38824.0
Ordered from Subway INR 49149 on 12/05,Food,49149.0
event cost INR10782,Entertainment,10782.0
Rs. 11449 paid to Blinkit via phonepe,Food,11449.0
Debit swipe NoBroker 34594 rs,Housing,34594.0
gift charges 48592.00 via gpay,Shopping,48592.0
postpaid Not 28696 but 33391 rs,Utilities,33391.0
"Burger King Calculated 8394 incorrectly, actual is INR 11880",Food,11880.0
Amazon 7261,Shopping,7261.0
jio payment inr16664 on 12/05,Utilities,16664.0
Spent ₹1823 On Cafe,Food,1823.0
shopping 2924 no make it ₹12359,Shopping,12359.0
Paid INR 17344 at Pizza Hut successful,Food,17344.0
Electronics Store Bill Inr 26182,Shopping,26182.0
33753 paid to Adidas on card,Shopping,33753.0
diwali shopping for family Rs. 16703 txn id 757667,Shopping,16703.0
breakfast payment of ₹23257,Food,23257.0
Transaction At Burger King For Inr17356 via paytm,Food,17356.0
Nike Payment ₹26730,Shopping,26730.0
Mcdonalds Inr38710,Food,38710.0
gift for wedding ₹7445,Others,7445.0
21280 for breakfast,Food,21280.0
Spent Rs. 26499 on clothes,Shopping,26499.0
13850 Rs Paid To Irctc,Transport,13850.0
Bill from Adidas of Rs. 47833,Shopping,47833.0
Amazon INR185,Shopping,185.0
Urban Company Rs. 48786,Housing,48786.0
Debit swipe Nike ₹41802,Shopping,41802.0
mobile recharge done ₹46522 successful,Utilities,46522.0
Ordered from Rapido 16023.00,Transport,16023.0
Transaction at MedPlus for Rs. 12424,Health,12424.0
debit swipe amazon prime 7069,Entertainment,7069.0
Dominos Bill is INR 24098 not 49368,Food,24098.0
Paid for breakfast 44881 rs,Food,44881.0
bill from apple store of 32690 rs,Shopping,32690.0
Bill from Zomato of 24285.00,Food,24285.0
bank payment ₹27293,Income,27293.0
Transfer Bill Is Rs. 29624 Not 32412,Others,29624.0
Just paid fruits bill Rs. 32732,Food,32732.0
Airtel 49074 Was Debited... Correction Rs. 5763 last night,Utilities,5763.0
Debit swipe Decathlon INR36068,Shopping,36068.0
Ordered From Zara Inr 18840 last night,Shopping,18840.0
"Byju's 47831.00 is the amount, not 4534",Education,47831.0
spent 17185 rs on rapido,Transport,17185.0
Rs. 30974 paid to Apple Store,Shopping,30974.0
Transaction at Decathlon for INR 38704,Shopping,38704.0
fitness payment of INR29295,Health,29295.0
Transaction At Rapido For Inr8099 txn id 398310,Transport,8099.0
office cab ride 39918 rs,Transport,39918.0
amazon not 25095 but inr 26558,Shopping,26558.0
went out for dinner with friends 6512,Food,6512.0
office cab ride Rs. 27009 cred today,Transport,27009.0
Blinkit 10675 rs,Food,10675.0
concert tickets booking 15420,Entertainment,15420.0
auto 12304 was debited... correction Rs. 14324,Transport,14324.0
act fibernet rs. 49570,Utilities,49570.0
22299 rs paid to Dominos on 12/05,Food,22299.0
"Vi Calculated 24353 incorrectly, actual is ₹12322",Utilities,12322.0
Ordered from MedPlus INR49309,Health,49309.0
birthday gift ₹47010,Shopping,47010.0
Debit Swipe 1Mg ₹9240,Health,9240.0
Just paid game bill Rs. 36918,Entertainment,36918.0
30246.00 paid to instamart via gpay,Food,30246.0
HDFC 17532,Income,17532.0
Flipkart 34679 no make it Rs. 23480 via paytm,Shopping,23480.0
Tuition 2104 No Make It Inr5606,Education,5606.0
Bill from Subway of 22601,Food,22601.0
UPI payment to McDonalds 37154 rs successful today,Food,37154.0
Gift For Wedding 3056,Others,3056.0
metro charges ₹22333,Transport,22333.0
spent ₹6700 on uber,Transport,6700.0
Monthly food INR 32101,Food,32101.0
food cost 10046 rs last night,Food,10046.0
Bill from Bescom of Rs. 35283,Utilities,35283.0
spent inr14185 on breakfast,Food,14185.0
purchase expense 37389 rs,Shopping,37389.0
mobile recharge done 3428 rs,Utilities,3428.0
Pizza Hut Bill is ₹46869 not 45270,Food,46869.0
Ordered from Myntra Rs. 25485,Shopping,25485.0
diesel payment of rs. 16383 yesterday,Transport,16383.0
food payment of 14248 rs via paytm,Food,14248.0
spent 36634 rs on airtel,Utilities,36634.0
Debit Swipe Playstation Inr 10157,Entertainment,10157.0
ordered late night snacks rs. 41847,Food,41847.0
ordered from starbucks inr 43707,Food,43707.0
NoBroker payment 40126 via phonepe,Housing,40126.0
Transaction At Friend For 22047 Rs,Income,22047.0
"Nobroker Calculated 9142 Incorrectly, Actual Is Inr21650 via gpay",Housing,21650.0
train ticket booking tatkal ₹31121,Transport,31121.0
clothes Not 4379 but 35610 rs,Shopping,35610.0
dth yearly subscription 32287 rs,Utilities,32287.0
Debit Swipe Indigo Inr 43599 via gpay,Transport,43599.0
46119.00 paid to Airtel,Utilities,46119.0
bescom typo 18235 read as ₹46754,Utilities,46754.0
"clothes 2529.00 is the amount, not 45701 today",Shopping,2529.0
bill from imax of 36046 rs cred,Entertainment,36046.0
Disney+ Payment Inr 5035,Entertainment,5035.0
Paid For Repairs 5397 Rs,Housing,5397.0
shopping expense 19816,Shopping,19816.0
Just Paid Clothes Bill 33778.00,Shopping,33778.0
Act Fibernet Paid 29786 Wait No Rs. 8805,Utilities,8805.0
UPI payment to IMAX INR 25615,Entertainment,25615.0
maintenance Not 33779 but Rs. 16587 via gpay,Housing,16587.0
Transaction at BigBasket for INR32399,Food,32399.0
"water bill 37101.00 is the amount, not 10422",Housing,37101.0
3526.00 paid to Air Asia via paytm,Transport,3526.0
Paid Inr 13425 At Myntra,Shopping,13425.0
Flipkart payment 864.00,Shopping,864.0
annual bonus credited 49413,Income,49413.0
Monthly food 10155,Food,10155.0
Stipend Inr42533 ... Not 21547,Income,42533.0
Transaction at Flipkart for 13013.00,Shopping,13013.0
dth yearly subscription 13526 rs,Utilities,13526.0
Ordered from Myntra 192 rs successful,Shopping,192.0
Transaction at BigBasket for 44154.00,Food,44154.0
weekend party expenses 17361.00,Entertainment,17361.0
game payment of 3954,Entertainment,3954.0
2065 rs for electricity on 12/05,Housing,2065.0
Ordered from HP Petrol 14140,Transport,14140.0
₹23524 Paid To Urban Company last night,Housing,23524.0
diwali shopping for family Rs. 16490 txn id 882275,Shopping,16490.0
Paid 24252.00 at Vi debt,Utilities,24252.0
Pizza Hut Rs. 16407,Food,16407.0
Spent 32783.00 on Indigo via gpay,Transport,32783.0
Uber INR 6745,Transport,6745.0
Paid Rs. 6694 at Urban Company,Housing,6694.0
repairs Paid 16163 wait no 42041,Housing,42041.0
bill from apple store of inr 21089 cred today,Shopping,21089.0
5549 for fuel,Transport,5549.0
gym membership renewal 11657.00 txn id 678191,Entertainment,11657.0
Concert Tickets Booking Inr 10045,Entertainment,10045.0
petrol Not 19244 but 41298 rs debt,Transport,41298.0
electrician 42779 was debited... correction Rs. 7011,Housing,7011.0
Transaction at HP Petrol for INR 3558,Transport,3558.0
Spent 1658 on accessories via phonepe,Shopping,1658.0
