text,category,amount
₹1118 paid to NoBroker,Housing,1118
exam registration fees 6780.00,Education,6780
Spent 32157 on internet,Utilities,32157
Just paid breakfast bill 14595.00,Food,14595
Upi Payment To Burger King 315 via phonepe,Food,315
Paid for grocery 34461 rs,Food,34461
late night craving order Rs. 13396,Food,13396
Hp Petrol Payment Rs. 7937 today,Transport,7937
accessories expense 20585,Shopping,20585
birthday treat for team 10728.00,Food,10728
Spent INR40197 on KFC via gpay,Food,40197
"Ikea 36865.00 Is The Amount, Not 646",Housing,36865
Paid INR46216 at Practo,Health,46216
auto rickshaw fare 4644,Transport,4644
Shell Bill is 9525 rs not 31489,Transport,9525
Transaction at H&M for INR 6054 last night,Shopping,6054
flipkart payment inr34016 on 12/05,Shopping,34016
Upi Payment To Client Inr 21600 successful yesterday,Income,21600
"Netflix 49898 rs is the amount, not 42514",Entertainment,49898
UPI payment to H&M ₹15,Shopping,15
Paid for subscription 27255 rs,Entertainment,27255
Online Python Course Inr31632,Education,31632
Spent 15900 rs on gift,Shopping,15900
25279 rs paid to Zara,Shopping,25279
debit swipe pizza hut inr38048,Food,38048
Fruits Cost 30730.00 upi ref 35330,Food,30730
Paid for prepaid 15696.00 upi ref 18099,Utilities,15696
Auto Charges ₹39153 today,Transport,39153
UPI payment to Ola 311 rs,Transport,311
Flipkart payment INR 24872 on card,Shopping,24872
Spent 37014.00 on electricity today,Housing,37014
Debit swipe BookMyShow ₹33008,Entertainment,33008
Bill From Decathlon Of 14737.00,Shopping,14737
Just paid broadband bill 30168 rs,Utilities,30168
Nike Spent 41601 oh wait it was ₹12979,Shopping,12979
Paid for gift INR 5466,Shopping,5466
Transaction at Nike for 19044,Shopping,19044
fuel filled for bike INR45885,Transport,45885
bill from apple store of inr 21089 cred today,Shopping,21089
electronics expense INR41239,Shopping,41239
movie payment of 4843 rs via gpay,Entertainment,4843
petrol 38144.00 ... not 15592,Transport,38144
act fibernet 30840 rs,Utilities,30840
Burger King ₹31565,Food,31565
bill from rapido of 23505 rs last night,Transport,23505
dividend cost 37282,Income,37282
Amazon INR 1920,Shopping,1920
gift for anniversary 9642.00,Shopping,9642
electronics store bill inr 46164,Shopping,46164
Spent ₹47935 on Bescom,Utilities,47935
spent inr37945 on urban company,Housing,37945
Debit swipe BigBasket Rs. 45729,Food,45729
subway 1439,Food,1439
Uber ₹40376,Transport,40376
Spent 7698.00 on cafe,Food,7698
electronics cost INR 41552,Shopping,41552
Dth Cost 16076 Rs,Utilities,16076
Shell Transfer 647 actually ₹28301 upi ref 99957,Transport,28301
food expense 48118,Food,48118
Monthly Accessories Inr 46513,Shopping,46513
late night craving order 34263.00,Food,34263
Paid 29810 at Swiggy,Food,29810
UPI payment to Charity INR24810,Others,24810
Spent INR 15535 on Starbucks,Food,15535
Bill From Jio Of Rs. 22284,Utilities,22284
Spent 35579 rs on event debt,Entertainment,35579
Zomato Bill is INR45684 not 5267,Food,45684
Debit Swipe Charity 44723.00,Others,44723
upi payment to uber rs. 16472,Transport,16472
maid bill is rs. 16546 not 804,Housing,16546
debit swipe ajio ₹4427,Shopping,4427
Spent INR21225 on Disney+,Entertainment,21225
Transaction at McDonalds for INR2646,Food,2646
bought new curtains for hall INR37839,Housing,37839
Ola 22620,Transport,22620
Inr40928 For Food successful,Food,40928
Spotify payment INR 3245,Entertainment,3245
bill payment of INR605 on 12/05,Utilities,605
train payment of 28435,Transport,28435
auto cost 9244.00 via paytm,Transport,9244
Ordered From Starbucks 24128 Rs,Food,24128
Debit swipe BigBasket ₹29187 today,Food,29187
spent 36719 on mobile debt,Utilities,36719
transaction at byju's for inr12974,Education,12974
plumber Bill is INR 34200 not 40011,Housing,34200
Ordered from Apple Store Rs. 21415,Shopping,21415
Paid 49303 rs at HP Petrol,Transport,49303
INR 29990 paid to Charity on card,Others,29990
bought new sneakers rs. 34434,Shopping,34434
pharmacy payment of ₹40007 debt today,Health,40007
Training 41570 ... Not 21305 yesterday,Education,41570
Bill From Myntra Of 46004 via paytm,Shopping,46004
Transaction at BigBasket for ₹7273,Food,7273
ordered from uber inr24245 via phonepe on 12/05,Transport,24245
28016 paid to DishTV,Utilities,28016
Airtel 22879 Was Debited... Correction 13120.00,Utilities,13120
Transaction at Myntra for INR40664,Shopping,40664
gas cylinder booking inr 30708 on card,Utilities,30708
auto payment of 18756,Transport,18756
"pharmacy INR 39090 is the amount, not 19607",Health,39090
UPI payment to Home Centre INR 22989,Housing,22989
INR 46312 for consultation,Health,46312
transaction at medplus for ₹23964,Health,23964
apparel charges inr 47568 on 12/05,Shopping,47568
Internet Cost Inr 24221,Utilities,24221
Bigbasket 2435 Rs successful,Food,2435
Transaction at Ajio for Rs. 27288 on card,Shopping,27288
petrol payment of 35589.00,Transport,35589
food charges 15496,Food,15496
Paid 36573 rs at Adidas,Shopping,36573
postpaid Bill is 37725... sorry ₹4394 txn id 674032,Utilities,4394
shoes charges Rs. 34727 cred,Shopping,34727
rent payment of 33808,Housing,33808
transaction at mcdonalds for ₹14033,Food,14033
game Typo 11446 read as ₹38914,Entertainment,38914
Ordered from Burger King 40402.00,Food,40402
office cab ride 16464 debt,Transport,16464
"rent Calculated 20946 incorrectly, actual is Rs. 26240",Housing,26240
Subway payment 33537.00,Food,33537
dominos bill is ₹20463 not 32996,Food,20463
dominos payment 44028.00,Food,44028
Spent 37624.00 On Purchase last night,Shopping,37624
Monthly internet 12888.00,Utilities,12888
breakfast Bill is 25868... sorry INR 36534,Food,36534
electricity bill paid online inr41162,Utilities,41162
Dinner Spent 47844 Oh Wait It Was 25755.00,Food,25755
74 paid to adidas,Shopping,74
nike 20569 was debited... correction 5722 rs today,Shopping,5722
shoes payment of 10803.00,Shopping,10803
Just Paid Bus Bill Inr26593,Transport,26593
metro expense INR24164,Transport,24164
paid inr 17102 at kfc via phonepe,Food,17102
Bill from Flipkart of ₹11212,Shopping,11212
Asian Paints 3639,Housing,3639
starbucks rs. 34485,Food,34485
Bill From Dominos Of ₹37636,Food,37636
coffee cost rs. 15091 cred last night,Food,15091
Bill From Rapido Of Inr11268,Transport,11268
Ordered from Myntra INR33602,Shopping,33602
monthly gift ₹17048,Shopping,17048
Inr 39640 Paid To Flipkart today,Shopping,39640
Winter Wear Purchase 30844 cred,Shopping,30844
McDonalds payment 19615.00,Food,19615
lunch Not 14928 but Rs. 16519 yesterday,Food,16519
Paid for college Rs. 16383 via paytm,Education,16383
paid monthly house rent 6777 upi ref 65459,Housing,6777
8950 rs paid to Decathlon upi ref 11821,Shopping,8950
bonus not 17330 but ₹8916 cred,Income,8916
Medicine Rs. 14401 ... Not 18914 via phonepe,Health,14401
concert charges ₹1020,Entertainment,1020
Paid ₹28117 at Client,Income,28117
INR9080 paid to KFC via gpay,Food,9080
renewed netflix subscription 15144,Entertainment,15144
apple store payment rs. 24877,Shopping,24877
Spent ₹5750 On Subway,Food,5750
INR30161 paid to Airtel debt on 12/05,Utilities,30161
Upi Payment To Zomato 40585,Food,40585
Monthly cinema INR 2122 cred,Entertainment,2122
bought new ps5 game via gpay,Entertainment,40206
₹41664 for grocery,Food,41664
3365 Rs Paid To H&M,Shopping,3365
Monthly Bus Pass Renewal ₹22130,Transport,22130
Just paid college bill INR 13536,Education,13536
Debit Swipe Urban Company Inr44984,Housing,44984
Ordered from McDonalds Rs. 37814,Food,37814
mobile 48512 was debited... correction 16070 rs,Utilities,16070
Spent ₹48163 on Byju's,Education,48163
diwali shopping for family INR 45884 txn id 204827,Shopping,45884
dinner Bill is 1303... sorry 3153.00,Food,3153
maid salary for this month Rs. 45489 via phonepe,Housing,45489
just paid bill bill inr1445,Utilities,1445
Unknown INR 48414,Others,48414
spent inr 25922 on instamart via paytm,Food,25922
Rs. 5489 Paid To Zara,Shopping,5489
₹8608 Paid To Rapido via gpay,Transport,8608
Rs. 6261 Paid To Zara,Shopping,6261
UPI payment to NoBroker Rs. 9334,Housing,9334
UPI payment to McDonalds 37154 rs successful today,Food,37154
INR 11592 paid to Apple Store,Shopping,11592
Irctc Payment 31053.00,Transport,31053
Bill from Steam of INR16639 today,Entertainment,16639
Paid for dth INR 39749,Utilities,39749
Bill from DishTV of ₹25202,Utilities,25202
spent ₹32470 on h&m,Shopping,32470
bus rs. 32419 instead of 5196 debt,Transport,32419
24358 paid to Act Fibernet via gpay,Utilities,24358
Transaction at Starbucks for INR20495 via phonepe,Food,20495
HP Petrol payment ₹15386,Transport,15386
Ordered from NoBroker INR20293,Housing,20293
PlayStation Not 23512 but INR 11932,Entertainment,11932
weekend party expenses INR 30992 debt,Entertainment,30992
shopping INR 37737 instead of 45647,Shopping,37737
Employer 3584.00 successful,Income,3584
accessories cost inr 11166 last night,Shopping,11166
Decathlon Inr 34307 txn id 498325,Shopping,34307
Bill From Kfc Of Rs. 5488,Food,5488
Spent Rs. 1426 on Shell,Transport,1426
Paid Inr 20692 At Mcdonalds last night,Food,20692
electricity expense 33025,Housing,33025
Spent 7708.00 on KFC,Food,7708
course charges INR32946,Education,32946
apparel Bill is 49988.00 not 5076,Shopping,49988
Paid for flight 25419.00 via paytm,Transport,25419
tata sky payment 23530 rs successful,Utilities,23530
lunch cost 25312.00,Food,25312
Monthly restaurant 32820 rs last night,Food,32820
"grocery Calculated 8748 incorrectly, actual is INR16341",Food,16341
IRCTC 44534 no make it INR20840,Transport,20840
Coffee Cost Inr 43777,Food,43777
food payment of 31999,Food,31999
went out for dinner with friends INR10826 on 12/05,Food,10826
Fuel Filled For Bike Inr41860,Transport,41860
dth yearly subscription rs. 39724,Utilities,39724
Winter Wear Purchase Rs. 26547 debt,Shopping,26547
Paid Inr22743 At Ola successful,Transport,22743
Just paid lunch bill ₹9389 cred,Food,9389
Air Asia 45906,Transport,45906
Debit swipe Spotify INR21539 via phonepe,Entertainment,21539
Diwali Shopping For Family 43587 txn id 294589 today,Shopping,43587
Ordered from Rapido 13657.00,Transport,13657
Spent 14486.00 on dinner,Food,14486
food expense ₹44423 upi ref 27342,Food,44423
metro ride to work INR11484 via paytm,Transport,11484
byju's 27599 rs,Education,27599
Bill From Rapido Of 38123 Rs,Transport,38123
Transaction at Air Asia for INR 36512,Transport,36512
Withdrawal Transfer 10211 Actually Inr 44450 last night,Others,44450
Dominos 44873.00 ... Not 25510 today,Food,44873
broadband charges Rs. 28185 txn id 549997,Utilities,28185
Ordered from Byju's INR42891,Education,42891
18178 Paid To Employer cred,Income,18178
Debit Swipe Dominos 38778,Food,38778
gym rs. 39843 ... not 32123 via phonepe,Health,39843
Rs. 23022 paid to Cult.fit via paytm,Health,23022
UPI payment to Disney+ ₹19846 today,Entertainment,19846
office canteen lunch ₹36350,Food,36350
vitamin supplements purchase ₹31121 debt,Health,31121
Debit swipe Burger King INR8581,Food,8581
Bill from McDonalds of Rs. 48154,Food,48154
Just paid transfer bill INR19046,Others,19046
Transaction At Swiggy For Rs. 45263,Food,45263
spent ₹35685 on trip,Transport,35685
transaction at nobroker for ₹30890,Housing,30890
"amazon calculated 123 incorrectly, actual is inr 44752",Shopping,44752
bill cost inr 20892,Utilities,20892
Spent INR32502 on BookMyShow,Entertainment,32502
paid ₹29561 at apollo pharmacy,Health,29561
late night craving order 33487 rs,Food,33487
Flipkart ₹18808 via paytm,Shopping,18808
late night craving order 1910 rs,Food,1910
trip payment of Rs. 15033,Transport,15033
Dominos Transfer 9457 actually 34478 rs,Food,34478
"Party 20611 Is The Amount, Not 6681",Entertainment,20611
Debit swipe Employer INR 25311,Income,25311
Ordered from DishTV INR 30383,Utilities,30383
UPI payment to Bank 44600.00,Income,44600
Ordered from KFC 24354 cred,Food,24354
8271 paid to air asia,Transport,8271
recharge expense inr 31291,Utilities,31291
Office Cab Ride 8302.00,Transport,8302
"Burger King Calculated 8394 incorrectly, actual is INR 11880",Food,11880
Paid for diesel 49693 rs,Transport,49693
"H&M Calculated 47451 incorrectly, actual is INR 41734 debt",Shopping,41734
Just paid coffee bill INR 26381,Food,26381
Monthly diesel 11290,Transport,11290
Paid INR48392 at Rapido,Transport,48392
26863 for diesel,Transport,26863
debit swipe dishtv inr44218,Utilities,44218
Transaction at Air Asia for 43786,Transport,43786
Just paid concert bill ₹9206 successful,Entertainment,9206
Spent Inr 3155 On Home Centre,Housing,3155
Just paid cinema bill ₹44830,Entertainment,44830
Stipend 17785 No Make It 31115,Income,31115
Just paid fruits bill Rs. 32732,Food,32732
"snack Calculated 42175 incorrectly, actual is Rs. 36601",Food,36601
coffee cost inr1737,Food,1737
INR 15925 paid to Burger King,Food,15925
Debit swipe DishTV 28148,Utilities,28148
Spent 22451.00 On Shoes,Shopping,22451
upi payment to amazon 49852 txn id 620803,Shopping,49852
Bill from Gold's Gym of 22207,Entertainment,22207
cab charges 13016 via gpay,Transport,13016
school charges 4081.00,Education,4081
Spent Inr 32368 On Show,Entertainment,32368
Paid INR1498 at IRCTC,Transport,1498
snack charges INR11267,Food,11267
Swiggy Bill is INR32739 not 30028,Food,32739
sunday brunch bill 29090.00,Food,29090
Paid ₹36962 at KFC,Food,36962
bus expense 40604 via paytm,Transport,40604
"vegetables Calculated 17100 incorrectly, actual is 14511.00 via phonepe",Food,14511
gym not 34144 but 36868 upi ref 30187,Health,36868
Paid 47293 at Airtel upi ref 14356,Utilities,47293
Event Payment Of 6155 debt,Entertainment,6155
₹8103 paid to Ajio,Shopping,8103
Recharge Charges ₹7230,Utilities,7230
31220 Rs Paid To Medplus,Health,31220
Uber Paid 40048 Wait No 25012 txn id 211816,Transport,25012
Transaction At Mcdonalds For ₹6250,Food,6250
Ordered from Urban Company INR16651,Housing,16651
Paid For Shoes ₹47796,Shopping,47796
Spent 41521.00 on Air Asia,Transport,41521
₹49733 paid to Cult.fit,Entertainment,49733
Kindle 9768.00,Education,9768
paid inr37112 at swiggy today,Food,37112
restaurant cost Rs. 17649,Food,17649
furniture charges ₹5377,Housing,5377
Monthly cinema 36317.00,Entertainment,36317
Gift For Anniversary 19241,Shopping,19241
bill from adidas of 38469.00,Shopping,38469
Jio Payment ₹12621,Utilities,12621
Pizza Hut ₹4779 today,Food,4779
Spent 17700.00 On Apparel debt,Shopping,17700
bill from nike of 33649.00,Shopping,33649
Spent INR34116 on Urban Company,Housing,34116
maid ₹24755 instead of 10181 upi ref 10547,Housing,24755
Rs. 26415 for fitness,Health,26415
1814 paid to act fibernet,Utilities,1814
Dominos payment 11707 rs,Food,11707
toll cost rs. 16125,Transport,16125
atm cash withdrawal 16486 rs,Others,16486
Subway ₹23200,Food,23200
rs. 20733 paid to amazon upi ref 21239,Shopping,20733
Instamart 20870.00,Food,20870
Zomato payment ₹23846,Food,23846
diwali shopping for family INR19693,Shopping,19693
Went Out For Dinner With Friends 20399.00 yesterday,Food,20399
6978 for snack,Food,6978
Transaction at H&M for 3915.00 yesterday,Shopping,3915
Ajio payment INR15864 via phonepe,Shopping,15864
Bescom payment 23734 rs upi ref 89220,Utilities,23734
office cab ride 3937 yesterday,Transport,3937
Spent 26587 rs on Shell,Transport,26587
Upi Payment To Subway Inr15524 debt,Food,15524
Bill from Amazon Prime of 9152,Entertainment,9152
Transaction at KFC for 38598,Food,38598
Paid 4038 rs at Blinkit,Food,4038
Monthly Game Inr 49062,Entertainment,49062
BigBasket payment 10360 rs,Food,10360
Transaction at Coursera for ₹35253,Education,35253
Rs. 46341 paid to Starbucks,Food,46341
"Amazon Calculated 23088 incorrectly, actual is INR49834 upi ref 42441",Shopping,49834
Ordered from Indigo 19664 via phonepe,Transport,19664
food cost 40654 rs,Food,40654
Apollo Pharmacy payment 19761 rs,Health,19761
Spent INR2996 on credited,Income,2996
Transaction at Netflix for INR 32206 via gpay,Entertainment,32206
INR1007 for consultation,Health,1007
Ordered From Apple Store Inr15862 yesterday,Shopping,15862
Just paid gift bill 46840 via paytm,Shopping,46840
bill 16428 was debited... correction 15764.00 via gpay,Utilities,15764
Paid For Breakfast 37084.00,Food,37084
Paid for recharge Rs. 27756 via gpay,Utilities,27756
monthly breakfast 28450,Food,28450
transaction at dominos for inr23621 cred,Food,23621
"party Calculated 32953 incorrectly, actual is INR16864",Entertainment,16864
Ride Transfer 7708 Actually 11081 Rs successful,Transport,11081
21355 rs paid to Apollo Pharmacy txn id 687588,Health,21355
Monthly fuel 41738,Transport,41738
Electronics Store Bill Inr 22148,Shopping,22148
Ordered from Ola ₹15504 successful,Transport,15504
Nike Bill is 5945... sorry 37115 rs,Shopping,37115
Monthly subscription 32798 rs debt,Entertainment,32798
Paid 28412 at Ajio,Shopping,28412
Rs. 20299 for broadband txn id 237449,Utilities,20299
Burger King ₹1699 ... not 15603,Food,1699
food expense 13689.00,Food,13689
swiggy inr 24742 yesterday,Food,24742
ordered late night snacks 26951 rs,Food,26951
Transaction At Kfc For Inr42840 via paytm,Food,42840
ride bill is 11824.00 not 11120,Transport,11824
Flipkart INR 12262,Shopping,12262
snack cost inr8445,Food,8445
₹9692 for vegetables,Food,9692
₹49697 paid to Swiggy,Food,49697
vitamin supplements purchase INR 12438,Health,12438
Shoes Cost Inr8330,Shopping,8330
dental cleaning charges ₹14533 via phonepe,Health,14533
Netflix 43879.00 instead of 45434,Entertainment,43879
metro Bill is 14281 rs not 4508 on 12/05,Transport,14281
clothes cost INR28778,Shopping,28778
"Byju's Calculated 10208 incorrectly, actual is 40802.00",Education,40802
restaurant Transfer 25892 actually Rs. 28439,Food,28439
Debit Swipe Instamart 41545.00,Food,41545
transaction at uber for 27449.00,Transport,27449
Debit swipe Amazon Rs. 10919,Shopping,10919
electricity bill paid online ₹23979 last night,Utilities,23979
spent 25651 rs on event,Entertainment,25651
Ordered from Apollo Pharmacy INR19297,Health,19297
party charges 21586.00,Entertainment,21586
Spent ₹19692 on Instamart,Food,19692
mobile payment of ₹22423,Utilities,22423
ordered clothes online INR 39318,Shopping,39318
BigBasket 25147 was debited... correction ₹21217,Food,21217
workshop payment of INR39357 txn id 356717,Education,39357
11646 rs paid to Tata Sky,Utilities,11646
Indigo payment ₹5178,Transport,5178
grocery typo 12202 read as 16368,Food,16368
Transaction at IKEA for 18768,Housing,18768
Bill From Indigo Of Inr 18866 upi ref 24969,Transport,18866
Ola Not 3218 but 30781 rs,Transport,30781
Monthly Consultation ₹32597 debt,Health,32597
Spent ₹26709 on auto debt,Transport,26709
dishtv 36416 rs ... not 25455 debt,Utilities,36416
Ordered from Dominos Rs. 43038,Food,43038
Bill from Asian Paints of 39485,Housing,39485
food spent 40551 oh wait it was 43307 rs via gpay,Food,43307
Bank Inr 13785,Income,13785
Ajio Bill is 21594.00 not 21867,Shopping,21594
Dominos payment 14471,Food,14471
ordered from home centre ₹41616,Housing,41616
Just paid prepaid bill Rs. 49260,Utilities,49260
Debit Swipe Shell 12117 Rs,Transport,12117
INR9363 paid to Air Asia yesterday,Transport,9363
apparel Paid 13398 wait no Rs. 7942,Shopping,7942
upi payment to cult.fit inr 30836 debt,Health,30836
Kindle 29458.00 last night,Education,29458
Just paid show bill INR23484,Entertainment,23484
Spent 23365.00 on refund yesterday,Income,23365
online python course INR 26047,Education,26047
McDonalds payment INR 44253,Food,44253
Pizza Hut 20212 Was Debited... Correction 6992,Food,6992
subway payment 13972.00,Food,13972
Apple Store INR 19684,Shopping,19684
rs. 33526 for apparel txn id 359520,Shopping,33526
ordered from mcdonalds rs. 37429 via phonepe,Food,37429
office cab ride 9068.00,Transport,9068
Unknown 17396.00 instead of 15308,Others,17396
transaction at nobroker for inr2564,Housing,2564
late night craving order Rs. 49585,Food,49585
Urban Company Not 25385 But 33823 Rs,Housing,33823
society maintenance paid INR 27861,Housing,27861
school bus fee 39324 rs,Education,39324
Grocery Bill Is Rs. 42316 Not 18400 yesterday,Food,42316
9684 rs paid to Nike cred,Shopping,9684
H&M Bill Is 28660... Sorry Rs. 32093,Shopping,32093
electronics store bill Rs. 14168,Shopping,14168
"Shoes Calculated 47966 Incorrectly, Actual Is Rs. 14731",Shopping,14731
Rs. 31112 paid to McDonalds via phonepe,Food,31112
transaction at dominos for ₹9550,Food,9550
movie night with family 11273 rs on 12/05,Entertainment,11273
transaction at bigbasket for inr 11981 upi ref 90540,Food,11981
furniture Transfer 13412 actually ₹20959 today,Housing,20959
Doctor Bill Is 43737.00 Not 43799,Health,43737
dinner cost inr 31901,Food,31901
Apple Store 29706 rs successful,Shopping,29706
Mcdonalds 41340 today,Food,41340
Spent Rs. 879 on H&M,Shopping,879
Netflix payment ₹37799,Entertainment,37799
Debit Swipe Medplus Inr23482,Health,23482
INR43965 for vegetables,Food,43965
Bill from Zomato of INR34459,Food,34459
Upi Payment To Spotify Rs. 10420 last night,Entertainment,10420
doctor charges inr 9645,Health,9645
Bill from Bescom of 19241,Utilities,19241
bank rs. 17505 upi ref 75317 last night,Income,17505
Bill from Myntra of ₹803,Shopping,803
adidas not 18387 but 38512 rs last night,Shopping,38512
spent 27617 rs on bookmyshow,Entertainment,27617
upi payment to bigbasket 1649.00 txn id 542417,Food,1649
Coursera payment Rs. 8700,Education,8700
"Zara Calculated 12092 Incorrectly, Actual Is 16586.00 via phonepe",Shopping,16586
movie night with family 16658 rs via phonepe,Entertainment,16658
Practo payment INR31391 on 12/05,Health,31391
Just Paid Food Bill 25575 via phonepe,Food,25575
Act Fibernet Inr40175 last night,Utilities,40175
bonus received ₹41450,Income,41450
Debit swipe Flipkart INR 31025,Shopping,31025
donation cost 37830.00 last night,Others,37830
Monthly Tuition 23557 Rs,Education,23557
36844.00 Paid To Starbucks,Food,36844
Paid for internet INR 4663 debt on 12/05,Utilities,4663
Bill from Decathlon of INR39942,Shopping,39942
Transaction at Steam for 37178,Entertainment,37178
Just Paid Train Bill Rs. 11204,Transport,11204
Monthly food 11359 rs,Food,11359
Transaction at Ola for Rs. 48846 cred,Transport,48846
Monthly electronics 10862 via phonepe,Shopping,10862
recharge cost 27472,Utilities,27472
Debit swipe NoBroker 10110 via gpay,Housing,10110
Spent INR 46451 on Home Centre debt last night,Housing,46451
Donation Cost 25907.00 via paytm,Others,25907
Act Fibernet 22396 rs instead of 9592,Utilities,22396
Paid 23237 rs at Nike debt,Shopping,23237
subway payment inr 15258,Food,15258
Ordered from IRCTC ₹467 via paytm,Transport,467
paid 14214 rs at imax,Entertainment,14214
Upi Payment To Ola Inr 33372,Transport,33372
Ordered from Air Asia INR35175,Transport,35175
INR42816 paid to Gold's Gym txn id 527819,Entertainment,42816
Tax Refund Processed Rs. 29842 via phonepe,Income,29842
just paid tuition bill 9180,Education,9180
Routine Body Checkup Rs. 32471,Health,32471
Ordered from Uber 3092 rs,Transport,3092
friend bill is inr36122 not 44145 successful,Others,36122
bill from mcdonalds of 43732.00 via gpay yesterday,Food,43732
Just paid checkup bill 34461 upi ref 30484 on 12/05,Health,34461
petrol expense INR6824,Transport,6824
Debit swipe McDonalds INR42743,Food,42743
"Bonus 35814 Rs Is The Amount, Not 48619",Income,35814
Spent INR41262 on grocery,Food,41262
rs. 33615 for electronics,Shopping,33615
Ordered From Medplus 36654.00,Health,36654
auto rickshaw fare 24464 yesterday,Transport,24464
late night craving order INR43214,Food,43214
Inr 49915 For Purchase,Shopping,49915
monthly dinner 46437 via phonepe,Food,46437
charity donation INR2184,Others,2184
upi payment to client 39626.00,Income,39626
₹45935 Paid To Burger King cred,Food,45935
₹1967 for course via gpay,Education,1967
Spent Rs. 24336 on Blinkit,Food,24336
Spent INR 21599 on movie,Entertainment,21599
"diesel Calculated 1963 incorrectly, actual is 24874 txn id 227614",Transport,24874
Monthly hospital INR5895,Health,5895
Petrol Bill Is 48394... Sorry 40908,Transport,40908
Spent INR42737 on diesel,Transport,42737
Bill from Starbucks of INR569,Food,569
spent 14810 on gift upi ref 19849,Shopping,14810
BigBasket Not 2883 but 38951.00,Food,38951
paid 9578 at spotify,Entertainment,9578
Pizza Hut Rs. 6280 via gpay,Food,6280
₹11183 for trip via gpay last night,Transport,11183
School Cost ₹35976,Education,35976
Burger King Paid 3775 wait no Rs. 43235 txn id 510103,Food,43235
Monthly repairs 3970 rs,Housing,3970
"petrol Rs. 31151 is the amount, not 44038",Transport,31151
Burger King INR19514,Food,19514
paid for cafe ₹23046,Food,23046
Debit swipe Unknown Rs. 8731 on card,Others,8731
Rent Cost ₹15851 upi ref 27310,Housing,15851
transaction at charity for rs. 5061,Others,5061
fruits expense 18863,Food,18863
Monthly bus INR14852,Transport,14852
UPI payment to Employer 28697.00,Income,28697
Burger King Paid 46402 wait no ₹48549,Food,48549
Rapido payment 49497,Transport,49497
BigBasket 24854 no make it ₹30267,Food,30267
lunch payment of inr21736 txn id 475271,Food,21736
Instamart INR 33648,Food,33648
Monthly Gift Rs. 14057,Shopping,14057
paid rs. 4885 at adidas txn id 443674,Shopping,4885
Rs. 6463 for class,Education,6463
Debit swipe Tata Sky INR 35755 debt,Utilities,35755
gift for anniversary 14112.00,Shopping,14112
